REGIONNAME,SERVICEID,SERVICELONGNAME,SERVICETYPENAME,SUPPLIERID,SUPPLIERNAME,MEALPLANNAME,OPTIONID,OPTIONNAME,EXTRAID,EXTRANAME,OCCUPANCYTYPEID,OCCUPANCYTYPENAME,CHARGINGPOLICYID,CHARGINGPOLICYNAME,SEASONTYPEID,SEASONTYPENAME,SEASONSTARTDATE,SEASONENDDATE,ORGANISATIONSUPPLIERCONTRACTID,ORGANISATIONSUPPLIERCONTRACTNAME,CONTRACTDURATIONID,CONTRACTDURATIONNAME,CONTRACTDURATIONSTARTDATE,CONTRACTDURATIONENDDATE,CURRENCYISOCODE,BUYPRICE,MARGIN,SELLING
Jaipur,1323,Shahpura House,Accommodation,138,Jaipur - Shahpura House,,,,861,Mandatory Christmas Supplement (Dec 24th & 25th),,,12,Per Person Per Day,6,Season 01,2015-10-01 00:00:00 +0530,2016-03-31 00:00:00 +0530,33455,Shahpura House(1st Oct 15-31st Mar 16),33685,Shahpura House(1st Oct 15-31st Mar 16),2015-10-01 00:00:00 +0530,2016-03-31 00:00:00 +0530,INR,3500,29.006,4930
Jaipur,1323,Shahpura House,Accommodation,138,Jaipur - Shahpura House,,,,861,Mandatory Christmas Supplement (Dec 24th & 25th),,,12,Per Person Per Day,6,Season 01,2016-10-01 00:00:00 +0530,2017-03-31 00:00:00 +0530,33486,Pro - Shahpura House(1st Oct 16-31st Mar 17),33717,Pro - Shahpura House(1st Oct 16-31st Mar 17),2016-10-01 00:00:00 +0530,2017-03-31 00:00:00 +0530,INR,3745,29.0047,5275
Jaipur,1323,Shahpura House,Accommodation,138,Jaipur - Shahpura House,,,,862,Mandatory New Year Supplement (Dec 31st),,,12,Per Person Per Day,6,Season 01,2015-10-01 00:00:00 +0530,2016-03-31 00:00:00 +0530,33455,Shahpura House(1st Oct 15-31st Mar 16),33685,Shahpura House(1st Oct 15-31st Mar 16),2015-10-01 00:00:00 +0530,2016-03-31 00:00:00 +0530,INR,3500,29.006,4930
Jaipur,1323,Shahpura House,Accommodation,138,Jaipur - Shahpura House,,,,862,Mandatory New Year Supplement (Dec 31st),,,12,Per Person Per Day,6,Season 01,2016-10-01 00:00:00 +0530,2017-03-31 00:00:00 +0530,33486,Pro - Shahpura House(1st Oct 16-31st Mar 17),33717,Pro - Shahpura House(1st Oct 16-31st Mar 17),2016-10-01 00:00:00 +0530,2017-03-31 00:00:00 +0530,INR,3745,29.0047,5275
Jaipur,1323,Shahpura House,Accommodation,138,Jaipur - Shahpura House,,,,1720,Mandatory Diwali Eve Supplement,,,12,Per Person Per Day,6,Season 01,2015-10-01 00:00:00 +0530,2016-03-31 00:00:00 +0530,33455,Shahpura House(1st Oct 15-31st Mar 16),33685,Shahpura House(1st Oct 15-31st Mar 16),2015-10-01 00:00:00 +0530,2016-03-31 00:00:00 +0530,INR,4000,29.0024,5634
Jaipur,1323,Shahpura House,Accommodation,138,Jaipur - Shahpura House,,,,1720,Mandatory Diwali Eve Supplement,,,12,Per Person Per Day,6,Season 01,2016-10-01 00:00:00 +0530,2017-03-31 00:00:00 +0530,33486,Pro - Shahpura House(1st Oct 16-31st Mar 17),33717,Pro - Shahpura House(1st Oct 16-31st Mar 17),2016-10-01 00:00:00 +0530,2017-03-31 00:00:00 +0530,INR,4280,29.0097,6029
Jaipur,1323,Shahpura House,Accommodation,138,Jaipur - Shahpura House,Breakfast,,,850,Extra bed 1,,,10,*Per Room Per Night,6,Season 01,2014-04-01 00:00:00 +0530,2014-09-30 00:00:00 +0530,9299,XShahpura House(1st Apr 14-30th Sep 14),9370,Shahpura House(1st Apr 14-30th Sep 14),2014-04-01 00:00:00 +0530,2014-09-30 00:00:00 +0530,INR,1000,28.9772,1408
Jaipur,1323,Shahpura House,Accommodation,138,Jaipur - Shahpura House,Breakfast,,,850,Extra bed 1,,,10,*Per Room Per Night,6,Season 01,2014-10-01 00:00:00 +0530,2015-03-31 00:00:00 +0530,28189,Shahpura House(1st Oct 14-31st Mar 15),28332,Shahpura House(1st Oct 14-31st Mar 15),2014-10-01 00:00:00 +0530,2015-03-31 00:00:00 +0530,INR,1719,29.0255,2422
Jaipur,1323,Shahpura House,Accommodation,138,Jaipur - Shahpura House,Breakfast,,,850,Extra bed 1,,,10,*Per Room Per Night,6,Season 01,2015-04-01 00:00:00 +0530,2015-09-30 00:00:00 +0530,15767,Pro-Shahpura House(1st Apr 15-30th Sep 15),15862,Pro-Shahpura House(1st Apr 15-30th Sep 15),2015-04-01 00:00:00 +0530,2015-09-30 00:00:00 +0530,INR,1100,29.0322,1550
Jaipur,1323,Shahpura House,Accommodation,138,Jaipur - Shahpura House,Breakfast,,,850,Extra bed 1,,,10,*Per Room Per Night,6,Season 01,2015-10-01 00:00:00 +0530,2016-03-31 00:00:00 +0530,33455,Shahpura House(1st Oct 15-31st Mar 16),33685,Shahpura House(1st Oct 15-31st Mar 16),2015-10-01 00:00:00 +0530,2016-03-31 00:00:00 +0530,INR,2000,29.0024,2817
